ALV-6000/E-WIN Data
Date :	"10/16/2025"
Time :	"11:35:18 AM"
Samplename : 	"NaCl solvent"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.08842
Viscosity [cp]  :	       1.02824
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      49.99900
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     183.36513
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  6.48795E-001
  2.50000E-004	  8.37717E-001
  3.75000E-004	  8.32852E-001
  5.00000E-004	  8.32028E-001
  6.25000E-004	  8.31933E-001
  7.50000E-004	  8.26972E-001
  8.75000E-004	  8.27486E-001
  1.00000E-003	  8.27402E-001
  1.12500E-003	  8.28967E-001
  1.25000E-003	  8.26539E-001
  1.37500E-003	  8.28342E-001
  1.50000E-003	  8.23668E-001
  1.62500E-003	  8.27689E-001
  1.75000E-003	  8.29218E-001
  1.87500E-003	  8.24106E-001
  2.00000E-003	  8.25533E-001
  2.25000E-003	  8.27307E-001
  2.50000E-003	  8.28493E-001
  2.75000E-003	  8.24424E-001
  3.00000E-003	  8.28284E-001
  3.25000E-003	  8.26307E-001
  3.50000E-003	  8.27647E-001
  3.75000E-003	  8.27734E-001
  4.00000E-003	  8.27260E-001
  4.50000E-003	  8.27929E-001
  5.00000E-003	  8.25633E-001
  5.50000E-003	  8.26655E-001
  6.00000E-003	  8.24214E-001
  6.50000E-003	  8.23395E-001
  7.00000E-003	  8.25420E-001
  7.50000E-003	  8.26428E-001
  8.00000E-003	  8.25996E-001
  9.00000E-003	  8.25882E-001
  1.00000E-002	  8.25496E-001
  1.10000E-002	  8.26165E-001
  1.20000E-002	  8.26414E-001
  1.30000E-002	  8.25411E-001
  1.40000E-002	  8.25955E-001
  1.50000E-002	  8.25276E-001
