ALV-6000/E-WIN Data
Date :	"9/26/2025"
Time :	"12:30:21 PM"
Samplename : 	"standaard_cal"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.45819
Viscosity [cp]  :	380689341.23837
Refractive Index:	       1.49200
Wavelength [nm] :	     632.80000
Angle [°]       :	     139.99900
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	       4.37044
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  1.46027E+000
  2.50000E-004	  4.06445E-001
  3.75000E-004	  2.50477E-002
  5.00000E-004	  2.79113E-001
  6.25000E-004	  6.56623E-001
  7.50000E-004	  6.73919E-002
  8.75000E-004	 -3.53658E-001
  1.00000E-003	  1.10932E-001
  1.12500E-003	  1.91733E-001
  1.25000E-003	  2.35274E-001
  1.37500E-003	  1.52080E-001
  1.50000E-003	  1.95023E-001
  1.62500E-003	  6.76909E-002
  1.75000E-003	  6.85881E-002
  1.87500E-003	 -1.41937E-001
  2.00000E-003	  2.16793E-001
  2.25000E-003	  6.76909E-002
  2.50000E-003	  5.52706E-001
  2.75000E-003	 -7.88692E-002
  3.00000E-003	 -1.43881E-001
  3.25000E-003	  2.62438E-002
  3.50000E-003	  3.18467E-001
  3.75000E-003	  2.99089E-001
  4.00000E-003	 -1.44030E-001
  4.50000E-003	  2.55710E-002
  5.00000E-003	  1.18677E-001
  5.50000E-003	  2.52719E-002
  6.00000E-003	  1.83913E-001
  6.50000E-003	  1.31133E-001
  7.00000E-003	 -3.75727E-001
  7.50000E-003	  4.73412E-002
  8.00000E-003	  8.35819E-002
  9.00000E-003	 -7.48024E-002
  1.00000E-002	  1.46189E-002
  1.10000E-002	 -3.83139E-002
  1.20000E-002	  2.49421E-002
  1.30000E-002	  9.37546E-002
  1.40000E-002	 -5.31402E-002
  1.50000E-002	 -2.80283E-002
  1.60000E-002	 -9.14915E-003
  1.80000E-002	 -6.03070E-003
  2.00000E-002	 -1.43392E-001
  2.20000E-002	  1.12356E-001
  2.40000E-002	  1.01977E-001
  2.60000E-002	 -7.17231E-002
  2.80000E-002	  8.58711E-002
  3.00000E-002	  1.32909E-001
  3.20000E-002	  7.90988E-003
  3.60000E-002	 -9.35013E-002
  4.00000E-002	 -6.94663E-002
  4.40000E-002	 -5.40734E-003
  4.80000E-002	  2.52533E-002
  5.20000E-002	 -7.63177E-002
  5.60000E-002	 -1.57831E-002
  6.00000E-002	  4.13448E-002
  6.40000E-002	  7.75733E-002
  7.20000E-002	 -1.68231E-002
  8.00000E-002	 -4.99416E-003
  8.80000E-002	  3.79964E-002
  9.60000E-002	  1.61024E-002
  1.04000E-001	 -1.89872E-002
  1.12000E-001	  1.00846E-002
  1.20000E-001	 -4.00126E-002
  1.28000E-001	 -4.08367E-002
  1.44000E-001	  7.94171E-003
  1.60000E-001	 -1.58531E-002
  1.76000E-001	  2.36784E-002
  1.92000E-001	  5.35154E-003
  2.08000E-001	 -5.55492E-003
  2.24000E-001	 -2.78225E-002
  2.40000E-001	  7.10815E-003
  2.56000E-001	 -1.87897E-002
  2.88000E-001	 -2.22260E-002
  3.20000E-001	 -2.76867E-003
  3.52000E-001	 -5.15723E-003
  3.84000E-001	  3.41722E-002
  4.16000E-001	  1.34826E-002
  4.48000E-001	  1.69832E-002
  4.80000E-001	 -1.37869E-002
  5.12000E-001	 -1.55931E-002
  5.76000E-001	  6.40964E-003
  6.40000E-001	  1.39677E-002
  7.04000E-001	  2.80343E-003
  7.68000E-001	  1.59200E-002
  8.32000E-001	  7.56693E-003
  8.96000E-001	 -1.29389E-003
  9.60000E-001	 -8.95423E-004
  1.02400E+000	  3.07139E-003
  1.15200E+000	 -3.19498E-003
  1.28000E+000	 -1.93846E-002
  1.40800E+000	  1.35069E-003
  1.53600E+000	  5.16219E-003
  1.66400E+000	  2.07247E-002
  1.79200E+000	  1.97317E-003
  1.92000E+000	  9.34063E-003
  2.01600E+000	 -4.81422E-003
  2.27200E+000	 -3.34185E-003
  2.52800E+000	  1.11593E-002
  2.78400E+000	 -1.08851E-002
  3.04000E+000	  1.45963E-003
  3.29600E+000	  7.91145E-003
  3.55200E+000	 -6.94832E-003
  3.80800E+000	 -1.09684E-003
  4.06400E+000	 -2.86474E-003
  4.57600E+000	  7.41511E-003
  5.08800E+000	 -3.09418E-003
  5.60000E+000	 -2.27390E-003
  6.11200E+000	 -6.97670E-003
  6.62400E+000	  4.29897E-003
  7.13600E+000	  4.52624E-003
  7.64800E+000	  6.36546E-003
  8.16000E+000	 -1.02417E-003
  9.18400E+000	  2.35335E-003
  1.02080E+001	  2.87928E-003
  1.12320E+001	  3.77093E-003
  1.22560E+001	 -2.73470E-003
  1.32800E+001	  5.17650E-003
  1.43040E+001	  2.41718E-003
  1.53280E+001	 -3.55342E-004
  1.63520E+001	  6.83638E-003
  1.84000E+001	  3.42143E-003
  2.04480E+001	 -2.13295E-003
  2.24960E+001	  3.96932E-003
  2.45440E+001	  4.76586E-003
  2.65920E+001	  1.28058E-003
  2.86400E+001	  2.84133E-003
  3.06880E+001	 -1.72993E-003
  3.27360E+001	  1.16436E-004
  3.68320E+001	  6.24610E-005
  4.09280E+001	  1.78480E-003
  4.50240E+001	 -4.57095E-004
  4.91200E+001	 -9.30319E-004
  5.32160E+001	  3.21223E-003
  5.73120E+001	  1.05515E-003
  6.14080E+001	 -1.81195E-003
  6.55040E+001	 -2.62833E-003
  7.36960E+001	 -3.24787E-004
  8.18880E+001	 -3.40373E-003
  9.00800E+001	 -4.59436E-004
  9.82720E+001	  7.74940E-004
  1.06464E+002	  1.08181E-003
  1.14656E+002	  3.79402E-005
  1.22848E+002	  9.55545E-004
  1.31040E+002	  1.52461E-003
  1.47424E+002	  6.07839E-004
  1.63808E+002	  7.98788E-004
  1.80192E+002	 -2.12892E-004
  1.96576E+002	 -1.92006E-003
  2.12960E+002	  5.88185E-005
  2.29344E+002	 -1.02116E-003
  2.45728E+002	 -6.98226E-004
  2.62112E+002	 -2.04446E-004
  2.94880E+002	  1.22041E-003
  3.27648E+002	 -8.16237E-004
  3.60416E+002	  5.40841E-004
  3.93184E+002	  2.69170E-004
  4.25952E+002	 -6.92489E-005
  4.58720E+002	  4.38576E-005
  4.91488E+002	 -5.39712E-004
  5.24256E+002	 -4.14976E-005
  5.89792E+002	 -1.36513E-004
  6.55328E+002	 -8.61124E-004
  7.20864E+002	 -8.11914E-004
  7.86400E+002	 -8.35129E-005
  8.51936E+002	  6.74677E-004
  9.17472E+002	 -9.44819E-005
  9.83008E+002	 -9.99009E-005
  1.04854E+003	 -5.54649E-004
  1.17962E+003	  1.83929E-004
  1.31069E+003	  1.12115E-005
  1.44176E+003	 -3.16701E-004
  1.57283E+003	  9.95796E-005
  1.70390E+003	  1.01673E-004
  1.83498E+003	  2.89733E-004
  1.96605E+003	  1.43587E-004
  2.09712E+003	  7.94388E-005
  2.35926E+003	 -9.94508E-005
  2.62141E+003	 -1.26404E-004
  2.88355E+003	  2.57386E-004
  3.14570E+003	 -1.34724E-004
  3.40784E+003	 -4.83471E-005
  3.66998E+003	 -4.03818E-005
  3.93213E+003	  3.83238E-004

"Count Rate"
       0.03906	       4.42023
       0.07813	       4.29174
       0.11719	       4.06044
       0.15625	       4.16324
       0.19531	       4.36883
       0.23438	       4.31743
       0.27344	       4.34313
       0.31250	       3.90625
       0.35156	       3.88055
       0.39063	       4.34313
       0.42969	       4.16324
       0.46875	       4.39453
       0.50781	       4.00905
       0.54688	       4.36883
       0.58594	       4.52303
       0.62500	       4.06044
       0.66406	       4.67722
       0.70313	       4.93421
       0.74219	       4.62582
       0.78125	       4.06044
       0.82031	       4.62582
       0.85938	       4.95991
       0.89844	       3.95765
       0.93750	       4.47163
       0.97656	       4.24034
       1.01563	       4.21464
       1.05469	       4.39453
       1.09375	       4.36883
       1.13281	       5.06271
       1.17188	       4.26604
       1.21094	       3.70066
       1.25000	       4.21464
       1.28906	       4.70292
       1.32813	       4.24034
