,radius(nm),distrib,err
7,7821.534184175452,0.0,3.1e-19
8,7409.521388150555,0.0,2.2e-19
9,7019.144924585342,0.0,4.4e-19
10,6649.314590681455,0.0,1.8e-19
11,6299.02404539426,0.0,1.5e-18
12,5967.1830859254,0.0,2.3e-18
13,5652.785371230236,0.0,1.2e-18
14,5354.992283771574,0.0,2.7e-18
15,5072.881344258497,0.0,2.7e-18
16,4805.613935153807,0.0,9.6e-19
17,4552.435300674026,0.0,1.4e-18
18,4312.590685035678,0.0,1.7e-18
19,4085.4091942090054,0.0,3e-18
20,3870.2199341642495,0.0,2.1e-18
21,3666.2681491179346,0.0,2.6e-18
22,3473.1345303014605,0.0,3.9e-18
23,3290.1481836850703,0.0,4.7e-18
24,3116.8059387464464,0.0,4.4e-18
25,2952.60462496327,0.0,5.2e-18
26,2797.0410718132225,0.0,6.8e-18
27,2649.695970527706,0.0,2.2e-18
28,2510.1500123381215,0.0,5.1e-18
29,2377.900026722152,0.0,4.6e-18
30,2252.610566664917,0.0,6.8e-18
31,2133.946185151538,0.0,7.6e-18
32,2021.487573413418,0.0,4.3e-18
33,1914.9831461893964,0.0,8.5e-18
34,1814.0974564645946,0.0,7.2e-18
35,1718.578918977854,0.0,7.5e-18
36,1628.008224960576,0.0,1.1e-17
37,1542.2176509053209,0.0,1.4e-17
38,1460.9556115509295,0.0,6.9e-18
39,1384.0543833899628,0.0,1.7e-17
40,1311.0946576538217,0.0,7.8e-18
41,1241.9925725887872,0.0,1.1e-17
42,1176.58040468742,0.0,1.6e-17
43,1114.6065686885602,0.0,2.4e-17
44,1055.9033410847685,0.0,8.7e-18
45,1000.2191366148863,0.0,1.6e-17
46,947.5539552789135,0.0,2.5e-17
47,897.6562118156908,0.0,9.4e-18
48,850.3581827177787,0.0,2.2e-17
49,805.550847705342,0.0,1.7e-17
50,763.1168003231728,0.0,6.8e-18
51,722.9134755899476,0.0,2.2e-17
52,684.823467050459,0.0,1.5e-17
53,648.7461406002432,0.004349262375873218,0.0035
54,614.5724759594646,0.015664525997727073,0.0072
55,582.1934528482876,0.03260824681188745,0.0095
56,551.5168233376205,0.05177372704406355,0.0097
57,522.4671118491157,0.06906529908023648,0.008
58,494.9436842783095,0.08088101962150197,0.0049
59,468.86267887148216,0.08484203514958051,0.0029
60,444.1653924010299,0.08021898019896191,0.0053
61,420.76796311323307,0.06799930339987541,0.0082
62,398.5949154297439,0.05074139438518756,0.0098
63,377.59593229833047,0.031979870410832494,0.0094
64,357.7039243160171,0.015529873911786726,0.007
65,338.8601882552001,0.004483914461813567,0.0033
66,321.0060208882755,0.0,3e-17
67,304.09949133838353,0.0,1e-17
68,288.0735102025485,0.0,5.7e-17
69,272.89453277928243,0.0,4.7e-17
70,258.5206281917255,0.0,3.7e-17
71,244.9014793876459,0.0,3.4e-17
72,232.0035416655557,0.0,4.8e-17
73,219.77649797322317,0.0,5.4e-17
74,208.19518978453235,0.0,7.9e-17
75,197.22607239799527,0.0,4.7e-17
76,186.8356011121242,0.0,4.5e-17
77,176.9986174008031,0.0,5.9e-17
78,167.6731903871723,0.0,3.2e-17
79,158.83416154511568,0.0,6.4e-17
80,150.4731446992614,0.0,6.5e-17
81,142.53982279737755,0.0,9.3e-17
82,135.03419583946425,0.0,3.4e-17
83,127.9227191240335,0.0,6.1e-17
84,121.18023412496947,0.0,5.6e-17
85,114.79835466690014,0.0,3.9e-17
86,108.75192222370963,0.0,3.2e-17
87,103.015778269282,0.0,4.5e-17
88,97.58992280361727,0.0,3.7e-17
89,92.44919730059954,0.0,6.5e-17
90,87.57682940948484,0.0,2.7e-17
91,82.96611018997562,0.0,4.5e-17
92,78.59523558610476,0.0,4.1e-17
93,74.45414218742587,0.0,5.8e-17
94,70.5319279659554,0.0,4.3e-17
95,66.81601365863541,0.0021533112743293875,0.0031
96,63.29549723748232,0.009398715598636243,0.0056
97,59.96115390958697,0.02139846065735353,0.0059
98,56.80208164696579,0.035806233852970694,0.0048
99,53.80989427424682,0.049406094532945775,0.0044
100,50.97452838098369,0.05906738169916569,0.0058
101,48.28927502687883,0.06251223089780625,0.0068
102,45.74574803656027,0.05885418256309347,0.0063
103,43.33556123465603,0.04878893913905251,0.0045
104,41.05200568086855,0.034571923065184175,0.0036
105,38.88921105243743,0.019569436489997146,0.0048
106,36.84046840906511,0.007440649848920359,0.0052
107,34.8999074279912,0.0008949875312168419,0.0032
108,33.061657786455335,0.0,9.6e-17
109,31.31984916169712,0.0,5.3e-17
110,29.669449848493386,0.0,4.6e-17
111,28.106266759158142,0.0,8.2e-17
112,26.62526818846821,0.0,8.9e-17
113,25.223099666274784,0.0,6.7e-17
114,23.893890869817504,0.0,8.8e-17
115,22.63512594648478,0.0,8.4e-17
116,21.442611808590616,0.0,5e-17
117,20.31299398598623,0.0,5.7e-17
118,19.24291800852283,0.0,5.8e-17
119,18.229029406051634,0.0,1.1e-16
120,17.268812325961047,0.0,1.2e-16
121,16.358912298102275,0.0,7.5e-17
122,15.49681346986374,0.0,1.3e-16
123,14.680838606171042,0.0,1.1e-16
124,13.907633236875387,0.0,1.4e-16
125,13.174681509365191,0.0,1.3e-16
126,12.48030618856606,0.0,9.4e-17
127,11.822830039403595,0.0,4.5e-17
128,11.199737209266209,0.0,8.4e-17
129,10.610189080616705,0.0,6.5e-17
130,10.05083118330629,0.0,1.5e-16
131,9.52166351733497,0.0,1.1e-16
132,9.020170230091152,0.0,4.8e-17
133,8.544674086500443,0.0,1.3e-16
134,8.0945880542868,0.0,1e-16
135,7.668067174868396,0.0,1.4e-16
136,7.26410510720059,0.0,1.3e-16
137,6.881443924977592,0.0,5.9e-17
138,6.518909563647319,0.0,1.2e-16
139,6.17541182041142,0.0,1.2e-16
140,5.850112077732694,0.0,6.8e-17
141,5.54192013281279,0.0,1e-16
142,5.249913506360787,0.0,1.1e-16
143,4.973337442593211,0.0,1.1e-16
144,4.711353323972862,0.0,8.9e-17
145,4.463122532962543,0.0,7.1e-17
146,4.227974175532498,0.0,1.3e-16
147,4.00523735765297,0.0,1.5e-16
148,3.7942411852942,0.0,1.1e-16
149,3.59431476442643,0.0,9.1e-17
150,3.4049549245273427,0.0,6.7e-17
151,3.2255746333209,0.0,7.8e-17
152,3.0556707202847835,0.0,5.7e-17
153,2.894656153142956,0.0,1.2e-16
154,2.742195484880537,0.0,1.1e-16
155,2.597701683221491,0.0,5.8e-17
156,2.4608393011509366,0.0,9.2e-17
157,2.3311890299002775,0.0,8.6e-17
