,radius(nm),distrib,err
7,9949.560688180522,4.381308346706341e-06,0.00069
8,9396.368275017188,0.0,3.2e-19
9,8873.349993480944,0.0,2.1e-19
10,8379.787411866388,0.0,4e-19
11,7914.243666762698,0.0,2.4e-19
12,7473.8450313482535,0.0,2.8e-19
13,7058.016760258724,0.0,8e-19
14,6665.393833253839,0.0,4.4e-19
15,6294.611230093325,0.0,3.7e-19
16,5944.519460048529,0.0,8e-19
17,5613.825346049722,0.0,5.8e-19
18,5301.52308370933,0.0,1.1e-18
19,5006.6787118103275,0.0,6.8e-19
20,4728.142739624062,0.0,9.8e-19
21,4465.124892274587,0.0,1.5e-18
22,4216.763051715413,0.0,1.1e-18
23,3982.195099900051,0.0,2e-18
24,3760.702605123096,0.0,1.5e-18
25,3551.495292508599,0.0,1.3e-18
26,3353.9265735216945,0.0,3.2e-18
27,3167.4217027980562,0.0,3.2e-18
28,2991.190405461737,0.0,2.9e-18
29,2824.801622489493,0.0,2.8e-18
30,2667.6806085169983,0.0,1.4e-18
31,2519.324461350468,0.0,3.5e-18
32,2379.1584356255767,0.0,2.5e-18
33,2246.823315489621,0.0,3.9e-18
34,2121.816198748816,3.2770595825725346e-05,0.0017
35,2003.7778695504578,0.0006482745745487298,0.0038
36,1892.3491120418437,0.001969906382554492,0.0055
37,1787.098867199729,0.0038388703573072787,0.0064
38,1687.6679191714104,0.0059352096546841085,0.0063
39,1593.768895274725,0.007888802112745395,0.0053
40,1505.1144228275102,0.009359094557695487,0.0037
41,1421.4171291476036,0.010100358501855485,0.0026
42,1342.317798382301,0.009994317992649653,0.0034
43,1267.6727441905214,0.009068502777660276,0.0052
44,1197.194593890102,0.00748809134238105,0.0065
45,1130.5959747988798,0.005525322301792336,0.0071
46,1067.6613574052328,0.0035115722471623554,0.0068
47,1008.3188985386209,0.0017812766306018104,0.0055
48,952.20938234634,0.0005915836869348428,0.0036
49,899.2609656578496,4.356837459966534e-05,0.0015
50,849.1862757909868,0.0,1.2e-17
51,801.9853127457517,0.0,1e-17
52,757.3707038399816,0.0,6.5e-18
53,715.2418686349195,0.0,6.8e-18
54,675.4551207894839,0.0,7.2e-18
55,637.8811425967016,0.0,1.7e-17
56,602.4049849837077,0.0,7.4e-18
57,568.8901459264746,0.0013489576315318804,0.00087
58,537.2504136203535,0.0048595102584134105,0.0021
59,507.3636546754253,0.010828367382364753,0.0034
60,479.1436572870413,0.01909748785985799,0.0044
61,452.4898410164443,0.029140747625987257,0.0052
62,427.31599405898567,0.04014245045609231,0.0057
63,403.5502732441245,0.05112376088058086,0.0057
64,381.099282450158,0.0610650586186276,0.0055
65,359.90554714065377,0.06895691959221546,0.005
66,339.8828555109627,0.07398364757668423,0.0042
67,320.9737330246524,0.07557425521477172,0.0034
68,303.12070514529034,0.07346364123346333,0.0029
69,286.25911301938976,0.06778435626926636,0.003
70,270.33866642757226,0.05901562185416873,0.0037
71,255.30189083340528,0.04802411522687194,0.0044
72,241.0984960175104,0.03594161489909205,0.0049
73,227.68537607756306,0.024093627235901992,0.0048
74,215.01942511123897,0.013764873791141637,0.0041
75,203.0647215332677,0.00605654446810232,0.0029
76,191.76379080721674,0.0015457443457311646,0.0013
77,181.10226429897796,0.0,3.3e-17
78,171.02266747211877,0.0,2.5e-17
79,161.51063169253106,0.0,1.8e-17
80,152.5302353749445,0.0,1.2e-17
81,144.0455569340887,0.0,2.9e-17
82,136.0278591017474,0.0,2.6e-17
83,128.46277324381248,0.0,2.1e-17
84,121.32156209206764,0.0,2.7e-17
85,114.56830406124251,0.0,2.7e-17
86,108.19581483428308,0.0,1.8e-17
87,102.17535714297304,0.0,2.2e-17
88,96.49256235320426,0.0,5.3e-17
89,91.12587751381452,0.0,1.3e-17
90,86.06093399069569,0.0,2.8e-17
91,81.26899451563149,0.0,2.5e-17
92,76.75005908862192,0.0,2.2e-17
93,72.48257475850478,0.0,2e-17
94,68.4492991643503,0.0,3.2e-17
95,64.6416111256936,0.0,1.5e-17
96,61.04586044013194,0.0,1.9e-17
