,radius(nm),distrib,err
8,3634.2781424240948,0.0,8.7e-20
9,3475.0564749607483,0.0,4.5e-19
10,3322.880656833143,0.0,2.5e-19
11,3177.314862309171,0.0,1.1e-19
12,3038.141178522779,0.0,2.7e-19
13,2905.0690549858946,0.0,3.7e-19
14,2777.8079412104457,0.0,7.4e-19
15,2656.1399243303795,0.0,8.6e-19
16,2539.7744538576235,0.0,1.1e-18
17,2428.566254548142,0.0,1.9e-19
18,2322.152138291845,0.0,3.2e-19
19,2220.459467466715,0.0,2.9e-19
20,2123.19769158468,0.0,2.8e-19
21,2030.2215354017037,0.0,2.8e-19
22,1941.313086051733,0.0,7.8e-19
23,1856.2544306687137,0.0,1.7e-18
24,1774.9729316306273,0.0,8.7e-19
25,1697.178038449403,0.0,7.4e-19
26,1622.86975112504,0.0,1.6e-18
27,1551.7575191694668,0.0,8.6e-19
28,1483.8413425826836,0.0,1.3e-18
29,1418.8306708766183,0.0,3.1e-18
30,1356.652866429253,0.0,1.1e-18
31,1297.23529161857,0.0,2.8e-19
32,1240.4326712005327,0.0,1.4e-18
33,1186.0997299311064,0.0,7.2e-19
34,1134.1638301882722,0.0,6.5e-19
35,1084.4796967279942,0.0,3.1e-18
36,1036.974691928255,0.0,1.3e-18
37,991.5761781670361,0.0,2.2e-18
38,948.138880200302,0.0,4.5e-18
39,906.5901604060346,0.0,1.1e-18
40,866.8573811622159,0.0,6.2e-18
41,828.9405424688459,0.0,1.6e-18
42,792.621731459871,0.0,2e-18
43,757.9009481352908,0.0,3.3e-18
44,724.691027348684,0.0,1.2e-18
45,692.9483865268398,0.0,2.9e-18
46,662.5931242855386,0.0,1.7e-18
47,633.5743942893674,0.0,1.8e-18
48,605.8195589163088,0.0,3.1e-18
49,579.2850355931516,0.0,3.8e-18
50,553.9127142222817,0.0,2.5e-18
51,529.6517484682863,0.0,5.9e-18
52,506.45129199575314,0.0,5.5e-18
53,484.2677622314711,0.0,6.8e-18
54,463.0575766022298,0.0,2.2e-18
55,442.77715253481813,0.0,1.7e-18
56,423.38290745602546,0.0,2.7e-18
57,404.83852255484277,0.0,5.4e-18
58,387.10041525805946,0.0,4.1e-18
59,370.14679427906987,0.0,6.3e-18
60,353.9340770446634,0.0,4.2e-18
61,338.4332085060328,0.0,2.7e-18
62,323.60786985216924,0.0,5.5e-18
63,309.43626979646723,0.0,4.2e-18
64,295.8820895279177,0.0,6.3e-18
