,radius(nm),distrib,err
10,890.6118245032358,0.0,1.5e-18
11,857.4864317839534,0.0,8.4e-19
12,825.6944409488144,0.0,5e-19
13,795.0513561396352,0.0,6.6e-19
14,765.5404050056723,0.0,1e-18
15,737.1280428454371,0.0,8.8e-19
16,709.7639526066984,0.0,2.4e-18
17,683.4229757633399,0.0,6.7e-19
18,658.05479526313,0.0,4.2e-18
19,633.6342525799528,0.0,8.9e-19
20,610.1110306615764,0.0,1.6e-18
21,587.4683571572567,0.0,2.2e-18
22,565.6643011901342,0.0,2.2e-18
23,544.6653180587209,0.0,3.5e-18
24,524.4462492369007,0.0,3.1e-18
25,504.9819361985579,0.0,3.5e-18
26,486.23883424220446,0.0,7.9e-18
27,468.19178484172454,0.0,3.2e-18
28,450.8156294710023,0.0,3e-18
29,434.0852096039217,0.0,3.6e-18
30,417.966980538995,0.0,7.4e-18
31,402.4525561008502,0.0,1e-17
32,387.51677776337124,0.001778,0.0063
33,373.1344870004423,0.005914,0.014
34,359.28891146131946,0.01204,0.021
35,345.94650644451485,0.01924,0.024
36,333.1072719500286,0.02634,0.023
37,320.7460494517444,0.0322,0.018
38,308.8376804235468,0.03589,0.01
39,297.3737786900635,0.03686,0.003
40,286.3375719005507,0.03497,0.0092
41,275.71228770426444,0.03053,0.017
42,265.4811537504608,0.02424,0.022
43,255.6273976883958,0.0171,0.023
44,246.13424716732553,0.01025,0.02
45,237.00170218724995,0.004741,0.014
46,228.20460422205323,0.001291,0.0064
47,219.7345670963633,0.0,1.5e-17
48,211.5748184594363,0.0,2.3e-17
49,203.7253583112722,0.0,1.1e-17
50,196.16102812575508,0.0,2.4e-17
51,188.88182790288494,0.0,1.1e-17
52,181.87098529191783,0.0,3.2e-17
53,175.12011411748185,0.0,2.8e-17
54,168.62082820420488,0.0,2.7e-17
55,162.36474137671516,0.0,2.4e-17
56,156.33508128426857,0.0,1.8e-17
57,150.53184792686517,0.0,1.9e-17
58,144.94665512913303,0.0,4.9e-17
59,139.56273054032815,0.0,3.6e-17
60,134.38846033582254,0.0,3.1e-17
61,129.39868598950025,0.0,1.7e-17
62,124.59340750136134,0.0,4.4e-17
63,119.97262487140576,0.0,6.5e-17
64,115.51956574888959,0.0,7.5e-17
65,111.22584395844085,0.0,3.4e-17
66,107.0998456754315,0.0,3.4e-17
67,103.12479854911761,0.0,2e-17
68,99.30070257949919,0.0,2e-17
69,95.61078541583231,0.0,2.7e-17
70,92.0634332334889,0.0,3.1e-17
71,88.65025985709704,0.0,4.6e-17
72,85.35449293591275,0.0,3.1e-17
73,82.1878731154568,0.0,4.5e-17
74,79.13782113267123,0.0,1.9e-17
75,76.20014389987007,0.0,1.7e-17
76,73.37232556444172,0.0,3e-17
77,70.64849580362579,0.0,4.9e-17
78,68.02613876481071,0.0,5.3e-17
79,65.50189997784769,0.0,3.8e-17
80,63.06990911997632,0.0,2.3e-17
81,60.72932757365944,0.001923,0.0031
82,58.475123633673846,0.006917,0.0066
83,56.304781447407954,0.01473,0.0091
84,54.21494654471298,0.02419,0.01
85,52.20310307297733,0.03369,0.0099
86,50.26505794451502,0.04151,0.0088
87,48.39913392425165,0.04624,0.007
88,46.60281515957562,0.04698,0.0055
89,44.87358579787537,0.04353,0.0054
90,43.208091369002084,0.03645,0.007
