,tau,corrFit,corrIn
0,7.5e-07,1.0,1.0
1,8.75e-07,0.9992201521,0.999221
2,1e-06,0.998882312481,0.998882
3,1.125e-06,0.998008992016,0.998009
4,1.25e-06,0.9970421904,0.997042
5,1.375e-06,0.9967326732249999,0.996732
6,1.5e-06,0.9968305153960001,0.99683
7,1.625e-06,0.9963533306250001,0.996353
8,1.75e-06,0.996610876416,0.99661
9,1.875e-06,0.9962095986089999,0.99621
10,2e-06,0.9952137408160001,0.995214
11,2.25e-06,0.996067873024,0.996067
12,2.5e-06,0.9959321452959999,0.995932
13,2.75e-06,0.994064832784,0.994064
14,3e-06,0.9949364262250001,0.994937
15,3.25e-06,0.9947449221609999,0.994745
16,3.5e-06,0.9948586254760001,0.994859
17,3.75e-06,0.994557425625,0.994557
18,4e-06,0.994748911641,0.994749
19,4.5e-06,0.9940269460810001,0.994027
20,5e-06,0.9935584070760001,0.993558
21,5.5e-06,0.993133826721,0.993134
22,6e-06,0.993022215025,0.993023
23,6.5e-06,0.991460309841,0.991461
24,7e-06,0.990592231225,0.990592
25,7.5e-06,0.9918765649,0.991877
26,8e-06,0.9910899362249999,0.991089
27,9e-06,0.9898498877440001,0.989849
28,1e-05,0.988948702681,0.988948
29,1.1e-05,0.9879326267040001,0.987932
30,1.2e-05,0.987376094224,0.987377
31,1.3e-05,0.986646876601,0.986646
32,1.4e-05,0.985054265001,0.985055
33,1.5e-05,0.984762491904,0.984762
34,1.6e-05,0.983603765824,0.983603
35,1.8e-05,0.982285156609,0.982285
36,2e-05,0.9802980099999999,0.980298
37,2.2e-05,0.978785720896,0.978785
38,2.4e-05,0.97713225,0.977132
39,2.6e-05,0.9752016755290001,0.975202
40,2.8e-05,0.9738433172250001,0.973844
41,3e-05,0.972647640441,0.972648
42,3.2e-05,0.970522492801,0.970523
43,3.6e-05,0.9673312609,0.967332
44,4e-05,0.9639705124000001,0.96397
45,4.4e-05,0.9607391099289999,0.960739
46,4.8e-05,0.957385928521,0.957385
47,5.2e-05,0.9539995394409999,0.953999
48,5.6e-05,0.950860964641,0.950862
49,6e-05,0.9474394232250001,0.947439
50,6.4e-05,0.9445040847360001,0.944505
51,7.2e-05,0.938275073316,0.938275
52,8e-05,0.932114942521,0.932115
53,8.8e-05,0.925794201124,0.925795
54,9.6e-05,0.9197577216,0.919757
55,0.000104,0.9137142214559999,0.913714
56,0.000112,0.907864046761,0.907864
57,0.00012,0.901914894864,0.901915
58,0.000128,0.896178408889,0.896179
59,0.000144,0.8846079672960001,0.884608
60,0.00016,0.873673437025,0.873674
61,0.000176,0.862793903689,0.862793
62,0.000192,0.852082224889,0.852083
63,0.000208,0.841720007209,0.84172
64,0.000224,0.831614501041,0.831614
65,0.00024,0.821513827876,0.821513
66,0.000256,0.8119451664,0.811945
67,0.000288,0.7931612352160001,0.793161
68,0.00032,0.7750636621289999,0.775063
69,0.000352,0.757862525809,0.757862
70,0.000384,0.7411333138809999,0.741134
71,0.000416,0.7251374025,0.725137
72,0.000448,0.7099309454760001,0.709931
73,0.00048,0.6950890384,0.695089
74,0.000512,0.6810953312250001,0.681095
75,0.000576,0.654147734436,0.654147
76,0.00064,0.628993334281,0.628994
77,0.000704,0.605629481284,0.605629
78,0.000768,0.583671552256,0.583671
79,0.000832,0.563119670569,0.56312
80,0.000896,0.544022781241,0.544022
81,0.00096,0.525928093681,0.525928
82,0.001024,0.509183572041,0.509184
83,0.001152,0.47782656250000005,0.477826
84,0.00128,0.44934364956100004,0.449344
85,0.001408,0.423407887204,0.423408
86,0.001536,0.39956684476900006,0.399567
87,0.001664,0.377612708004,0.377613
88,0.001792,0.35735288410000005,0.357353
89,0.00192,0.33855640473600007,0.338557
90,0.002016,0.325496493529,0.325496
91,0.002272,0.29377050403599997,0.293771
92,0.002528,0.26555264112400007,0.265553
93,0.002784,0.24034702350400003,0.240347
94,0.00304,0.21811608684100003,0.218116
95,0.003296,0.198133594884,0.198134
96,0.003552,0.179990608009,0.179991
97,0.003808,0.16362186800399997,0.163622
98,0.004064,0.14908633768899998,0.149086
99,0.004576,0.123680229124,0.12368
100,0.005088,0.103193210169,0.103193
101,0.0056,0.08569026744100001,0.0856902
102,0.006112,0.07177416064900001,0.071774
103,0.006624,0.060127944100000004,0.0601279
104,0.007136,0.051000995556,0.0510012
105,0.007648,0.043015174801,0.0430152
106,0.00816,0.037162586176000004,0.0371627
107,0.009184,0.027985609520999998,0.0279856
108,0.01021,0.021126041104,0.0211259
109,0.01123,0.017181442084,0.0171815
110,0.01226,0.014161952016,0.014162
111,0.01328,0.011369530384,0.0113696
112,0.0143,0.009017971369,0.00901797
113,0.01533,0.0069270165036900005,0.00692702
114,0.01635,0.005411823938009999,0.00541183
115,0.0184,0.004916533924,0.00491653
116,0.02045,0.00454607668516,0.00454607
117,0.0225,0.006571696356,0.0065717
118,0.02454,0.0033400539662400003,0.00334005
119,0.02659,0.00244474869136,0.00244475
120,0.02864,0.00038966760000000005,-0.000389667
121,0.03069,0.00175265310609,-0.00175265
122,0.03274,0.0021440789376399997,0.00214408
123,0.03683,0.00325543278096,0.00325543
124,0.04093,0.00112511272329,0.00112511
125,0.04502,0.0010648017396900002,0.0010648
126,0.04912,0.00175400978481,-0.00175401
127,0.05322,0.00410013544329,-0.00410014
128,0.05731,0.0008590878240400001,-0.000859088
129,0.06141,0.00271334726404,-0.00271335
130,0.0655,0.00306857278809,-0.00306857
131,0.0737,0.0013675869648099997,-0.00136759
132,0.08189,0.0050579832802500006,0.00505798
133,0.09008,0.00109715300289,0.00109715
134,0.09827,0.00208880077156,0.0020888
135,0.1065,0.00454738481649,0.00454738
136,0.1147,0.00141043811364,0.00141044
137,0.1228,0.00056996310121,-0.000569962
138,0.131,0.00408903975936,0.00408904
139,0.1474,0.0017791017843599999,0.0017791
140,0.1638,0.00525858475921,0.00525858
141,0.1802,0.0019390283833600002,0.00193903
142,0.1966,0.0014621064062500001,-0.00146211
143,0.213,0.0018303936456099997,0.00183039
144,0.2293,0.00302152499856,0.00302152
145,0.2457,0.0024072760960000003,-0.00240728
146,0.2621,0.00086286712516,0.00086287
147,0.2949,0.0011714122308099997,-0.00117141
148,0.3276,0.00046914693604,-0.000469148
149,0.3604,0.0019204027417599999,-0.0019204
150,0.3932,0.00251058117249,-0.00251058
151,0.426,0.00274451302161,0.00274451
152,0.4587,0.00166739105569,-0.00166739
153,0.4915,0.0008543695161600001,0.000854372
154,0.5243,0.00034037667048999993,0.000340378
155,0.5898,0.00015987326481,-0.000159874
156,0.6553,0.000662084361,0.000662086
157,0.7209,0.0013433984257600002,0.0013434
158,0.7864,0.00011923984808999998,0.000119239
159,0.8519,0.0011470481976099999,-0.00114705
160,0.9175,0.00031585820176,-0.000315859
161,0.983,0.00214265300544,0.00214265
162,1.049,0.0016257669126399997,0.00162577
163,1.18,0.00034521268401,0.000345211
164,1.311,0.00045448696969,0.000454489
165,1.442,0.00026940298225000005,0.000269404
166,1.573,0.0014218480147600002,0.00142185
167,1.704,1.9015268422499997e-05,-1.90153e-05
168,1.835,0.00150453221689,0.00150453
169,1.966,0.00206922182769,0.00206922
170,2.097,0.0011757972420099998,0.0011758
171,2.359,0.00039673469124,0.000396734
172,2.621,0.00023173972900000003,0.000231739
173,2.884,0.000132066064,-0.000132067
174,3.146,0.00097576266384,0.000975761
175,3.408,0.000291077721,-0.000291077
176,3.67,0.00013320853056000002,0.000133208
177,3.932,0.00072376602841,0.000723766
178,4.194,0.0010857222700900002,0.00108572
179,4.719,8.717471382759999e-05,8.71748e-05
180,5.243,0.00018747360241000002,0.000187474
181,5.767,0.00021235192729,0.000212353
